Dataset,Question-Type,Answer-type,Question,gold_10_1,gold_10_1_data_source_path,gold_10_2,gold_10_2_data_source_path,gold_10_3,gold_10_3_data_source_path,gold_50_1,gold_50_1_data_source_path,gold_50_2,gold_50_2_data_source_path,gold_50_3,gold_50_3_data_source_path,gold_100_1,gold_100_1_data_source_path,gold_100_2,gold_100_2_data_source_path,gold_100_3,gold_100_3_data_source_path,gold_250_1,gold_250_1_data_source_path,gold_250_2,gold_250_2_data_source_path,gold_250_3,gold_250_3_data_source_path,gold_500_1,gold_500_1_data_source_path,gold_500_2,gold_500_2_data_source_path,gold_500_3,gold_500_3_data_source_path,gold_750_1,gold_750_1_data_source_path,gold_750_2,gold_750_2_data_source_path,gold_750_3,gold_750_3_data_source_path,gold_1000_1,gold_1000_1_data_source_path,gold_1000_2,gold_1000_2_data_source_path,gold_1000_3,gold_1000_3_data_source_path
ste-tweettopic,Comparison,yes/no,Is the distribution of the 'travel and adventure' and 'sports' topics relatively balanced (within ±10%)?,no,./data_source/ste-tweettopic/10/ste-tweettopic_1.txt,no,./data_source/ste-tweettopic/10/ste-tweettopic_2.txt,no,./data_source/ste-tweettopic/10/ste-tweettopic_3.txt,no,./data_source/ste-tweettopic/50/ste-tweettopic_1.txt,no,./data_source/ste-tweettopic/50/ste-tweettopic_2.txt,no,./data_source/ste-tweettopic/50/ste-tweettopic_3.txt,no,./data_source/ste-tweettopic/100/ste-tweettopic_1.txt,no,./data_source/ste-tweettopic/100/ste-tweettopic_2.txt,no,./data_source/ste-tweettopic/100/ste-tweettopic_3.txt,no,./data_source/ste-tweettopic/250/ste-tweettopic_1.txt,no,./data_source/ste-tweettopic/250/ste-tweettopic_2.txt,no,./data_source/ste-tweettopic100ste-tweettopic_3.txt,no,./data_source/ste-tweettopic/500/ste-tweettopic_1.txt,no,./data_source/ste-tweettopic/500/ste-tweettopic_2.txt,no,./data_source/ste-tweettopic/500/ste-tweettopic_3.txt,no,./data_source/ste-tweettopic/750/ste-tweettopic_1.txt,no,./data_source/ste-tweettopic/750/ste-tweettopic_2.txt,no,./data_source/ste-tweettopic/750/ste-tweettopic_3.txt,no,./data_source/ste-tweettopic/1000/ste-tweettopic_1.txt,no,./data_source/ste-tweettopic/1000/ste-tweettopic_2.txt,no,./data_source/ste-tweettopic/1000/ste-tweettopic_3.txt
ste-tweettopic,Comparison,yes/no,Is the ratio of 'music' topic entries to 'gaming' topic entries greater than 2:1?,no,./data_source/ste-tweettopic/10/ste-tweettopic_1.txt,yes,./data_source/ste-tweettopic/10/ste-tweettopic_2.txt,yes,./data_source/ste-tweettopic/10/ste-tweettopic_3.txt,yes,./data_source/ste-tweettopic/50/ste-tweettopic_1.txt,yes,./data_source/ste-tweettopic/50/ste-tweettopic_2.txt,yes,./data_source/ste-tweettopic/50/ste-tweettopic_3.txt,yes,./data_source/ste-tweettopic/100/ste-tweettopic_1.txt,yes,./data_source/ste-tweettopic/100/ste-tweettopic_2.txt,yes,./data_source/ste-tweettopic/100/ste-tweettopic_3.txt,yes,./data_source/ste-tweettopic/250/ste-tweettopic_1.txt,yes,./data_source/ste-tweettopic/250/ste-tweettopic_2.txt,yes,./data_source/ste-tweettopic100ste-tweettopic_3.txt,yes,./data_source/ste-tweettopic/500/ste-tweettopic_1.txt,yes,./data_source/ste-tweettopic/500/ste-tweettopic_2.txt,yes,./data_source/ste-tweettopic/500/ste-tweettopic_3.txt,yes,./data_source/ste-tweettopic/750/ste-tweettopic_1.txt,yes,./data_source/ste-tweettopic/750/ste-tweettopic_2.txt,yes,./data_source/ste-tweettopic/750/ste-tweettopic_3.txt,yes,./data_source/ste-tweettopic/1000/ste-tweettopic_1.txt,yes,./data_source/ste-tweettopic/1000/ste-tweettopic_2.txt,yes,./data_source/ste-tweettopic/1000/ste-tweettopic_3.txt
ste-tweettopic,Comparison,yes/no,Is the ratio of 'sports' topic entries to 'arts and culture' topic entries less than 1:1?,no,./data_source/ste-tweettopic/10/ste-tweettopic_1.txt,no,./data_source/ste-tweettopic/10/ste-tweettopic_2.txt,yes,./data_source/ste-tweettopic/10/ste-tweettopic_3.txt,no,./data_source/ste-tweettopic/50/ste-tweettopic_1.txt,no,./data_source/ste-tweettopic/50/ste-tweettopic_2.txt,no,./data_source/ste-tweettopic/50/ste-tweettopic_3.txt,no,./data_source/ste-tweettopic/100/ste-tweettopic_1.txt,no,./data_source/ste-tweettopic/100/ste-tweettopic_2.txt,no,./data_source/ste-tweettopic/100/ste-tweettopic_3.txt,no,./data_source/ste-tweettopic/250/ste-tweettopic_1.txt,no,./data_source/ste-tweettopic/250/ste-tweettopic_2.txt,no,./data_source/ste-tweettopic100ste-tweettopic_3.txt,no,./data_source/ste-tweettopic/500/ste-tweettopic_1.txt,no,./data_source/ste-tweettopic/500/ste-tweettopic_2.txt,no,./data_source/ste-tweettopic/500/ste-tweettopic_3.txt,no,./data_source/ste-tweettopic/750/ste-tweettopic_1.txt,no,./data_source/ste-tweettopic/750/ste-tweettopic_2.txt,no,./data_source/ste-tweettopic/750/ste-tweettopic_3.txt,no,./data_source/ste-tweettopic/1000/ste-tweettopic_1.txt,no,./data_source/ste-tweettopic/1000/ste-tweettopic_2.txt,no,./data_source/ste-tweettopic/1000/ste-tweettopic_3.txt
ste-tweettopic,Calculation,number,What is the number of entries with the 'daily life' topic that also contain at least one other topic?,0,./data_source/ste-tweettopic/10/ste-tweettopic_1.txt,1,./data_source/ste-tweettopic/10/ste-tweettopic_2.txt,1,./data_source/ste-tweettopic/10/ste-tweettopic_3.txt,6,./data_source/ste-tweettopic/50/ste-tweettopic_1.txt,8,./data_source/ste-tweettopic/50/ste-tweettopic_2.txt,12,./data_source/ste-tweettopic/50/ste-tweettopic_3.txt,16,./data_source/ste-tweettopic/100/ste-tweettopic_1.txt,17,./data_source/ste-tweettopic/100/ste-tweettopic_2.txt,22,./data_source/ste-tweettopic/100/ste-tweettopic_3.txt,38,./data_source/ste-tweettopic/250/ste-tweettopic_1.txt,40,./data_source/ste-tweettopic/250/ste-tweettopic_2.txt,53,./data_source/ste-tweettopic100ste-tweettopic_3.txt,153,./data_source/ste-tweettopic/500/ste-tweettopic_1.txt,153,./data_source/ste-tweettopic/500/ste-tweettopic_2.txt,153,./data_source/ste-tweettopic/500/ste-tweettopic_3.txt,184,./data_source/ste-tweettopic/750/ste-tweettopic_1.txt,184,./data_source/ste-tweettopic/750/ste-tweettopic_2.txt,184,./data_source/ste-tweettopic/750/ste-tweettopic_3.txt,213,./data_source/ste-tweettopic/1000/ste-tweettopic_1.txt,213,./data_source/ste-tweettopic/1000/ste-tweettopic_2.txt,213,./data_source/ste-tweettopic/1000/ste-tweettopic_3.txt
ste-tweettopic,Comparison,yes/no,Is 'daily life' topic more likely to co-occur with 'family' topic than with 'news and social concern' topic?,no,./data_source/ste-tweettopic/10/ste-tweettopic_1.txt,no,./data_source/ste-tweettopic/10/ste-tweettopic_2.txt,no,./data_source/ste-tweettopic/10/ste-tweettopic_3.txt,no,./data_source/ste-tweettopic/50/ste-tweettopic_1.txt,no,./data_source/ste-tweettopic/50/ste-tweettopic_2.txt,yes,./data_source/ste-tweettopic/50/ste-tweettopic_3.txt,no,./data_source/ste-tweettopic/100/ste-tweettopic_1.txt,no,./data_source/ste-tweettopic/100/ste-tweettopic_2.txt,no,./data_source/ste-tweettopic/100/ste-tweettopic_3.txt,yes,./data_source/ste-tweettopic/250/ste-tweettopic_1.txt,no,./data_source/ste-tweettopic/250/ste-tweettopic_2.txt,no,./data_source/ste-tweettopic100ste-tweettopic_3.txt,no,./data_source/ste-tweettopic/500/ste-tweettopic_1.txt,no,./data_source/ste-tweettopic/500/ste-tweettopic_2.txt,no,./data_source/ste-tweettopic/500/ste-tweettopic_3.txt,no,./data_source/ste-tweettopic/750/ste-tweettopic_1.txt,no,./data_source/ste-tweettopic/750/ste-tweettopic_2.txt,no,./data_source/ste-tweettopic/750/ste-tweettopic_3.txt,no,./data_source/ste-tweettopic/1000/ste-tweettopic_1.txt,no,./data_source/ste-tweettopic/1000/ste-tweettopic_2.txt,no,./data_source/ste-tweettopic/1000/ste-tweettopic_3.txt
ste-tweettopic,Calculation,percentage,What is the percentage of entries with the 'news and social concern' topic that contain no other topic?,50.00%,./data_source/ste-tweettopic/10/ste-tweettopic_1.txt,0.00%,./data_source/ste-tweettopic/10/ste-tweettopic_2.txt,0.00%,./data_source/ste-tweettopic/10/ste-tweettopic_3.txt,41.18%,./data_source/ste-tweettopic/50/ste-tweettopic_1.txt,41.18%,./data_source/ste-tweettopic/50/ste-tweettopic_2.txt,33.33%,./data_source/ste-tweettopic/50/ste-tweettopic_3.txt,46.67%,./data_source/ste-tweettopic/100/ste-tweettopic_1.txt,42.42%,./data_source/ste-tweettopic/100/ste-tweettopic_2.txt,45.95%,./data_source/ste-tweettopic/100/ste-tweettopic_3.txt,37.50%,./data_source/ste-tweettopic/250/ste-tweettopic_1.txt,36.99%,./data_source/ste-tweettopic/250/ste-tweettopic_2.txt,37.00%,./data_source/ste-tweettopic100ste-tweettopic_3.txt,8.54%,./data_source/ste-tweettopic/500/ste-tweettopic_1.txt,8.54%,./data_source/ste-tweettopic/500/ste-tweettopic_2.txt,8.54%,./data_source/ste-tweettopic/500/ste-tweettopic_3.txt,20.66%,./data_source/ste-tweettopic/750/ste-tweettopic_1.txt,20.66%,./data_source/ste-tweettopic/750/ste-tweettopic_2.txt,20.66%,./data_source/ste-tweettopic/750/ste-tweettopic_3.txt,26.38%,./data_source/ste-tweettopic/1000/ste-tweettopic_1.txt,26.38%,./data_source/ste-tweettopic/1000/ste-tweettopic_2.txt,26.38%,./data_source/ste-tweettopic/1000/ste-tweettopic_3.txt
ste-emotion,Count,number,Count entries containing at least four different emotions.,2,./data_source/ste-emotion/10/ste-emotion_1.txt,0,./data_source/ste-emotion/10/ste-emotion_2.txt,1,./data_source/ste-emotion/10/ste-emotion_3.txt,5,./data_source/ste-emotion/50/ste-emotion_1.txt,7,./data_source/ste-emotion/50/ste-emotion_2.txt,5,./data_source/ste-emotion/50/ste-emotion_3.txt,13,./data_source/ste-emotion/100/ste-emotion_1.txt,9,./data_source/ste-emotion/100/ste-emotion_2.txt,17,./data_source/ste-emotion/100/ste-emotion_3.txt,32,./data_source/ste-emotion/250/ste-emotion_1.txt,33,./data_source/ste-emotion/250/ste-emotion_2.txt,19,./data_source/ste-emotion100ste-emotion_3.txt,179,./data_source/ste-emotion/500/ste-emotion_1.txt,179,./data_source/ste-emotion/500/ste-emotion_2.txt,179,./data_source/ste-emotion/500/ste-emotion_3.txt,206,./data_source/ste-emotion/750/ste-emotion_1.txt,206,./data_source/ste-emotion/750/ste-emotion_2.txt,206,./data_source/ste-emotion/750/ste-emotion_3.txt,224,./data_source/ste-emotion/1000/ste-emotion_1.txt,224,./data_source/ste-emotion/1000/ste-emotion_2.txt,224,./data_source/ste-emotion/1000/ste-emotion_3.txt
ste-emotion,Count,number,How many entries express only one single emotion?,0,./data_source/ste-emotion/10/ste-emotion_1.txt,2,./data_source/ste-emotion/10/ste-emotion_2.txt,0,./data_source/ste-emotion/10/ste-emotion_3.txt,5,./data_source/ste-emotion/50/ste-emotion_1.txt,8,./data_source/ste-emotion/50/ste-emotion_2.txt,4,./data_source/ste-emotion/50/ste-emotion_3.txt,16,./data_source/ste-emotion/100/ste-emotion_1.txt,13,./data_source/ste-emotion/100/ste-emotion_2.txt,21,./data_source/ste-emotion/100/ste-emotion_3.txt,45,./data_source/ste-emotion/250/ste-emotion_1.txt,55,./data_source/ste-emotion/250/ste-emotion_2.txt,47,./data_source/ste-emotion100ste-emotion_3.txt,45,./data_source/ste-emotion/500/ste-emotion_1.txt,45,./data_source/ste-emotion/500/ste-emotion_2.txt,45,./data_source/ste-emotion/500/ste-emotion_3.txt,87,./data_source/ste-emotion/750/ste-emotion_1.txt,87,./data_source/ste-emotion/750/ste-emotion_2.txt,87,./data_source/ste-emotion/750/ste-emotion_3.txt,134,./data_source/ste-emotion/1000/ste-emotion_1.txt,134,./data_source/ste-emotion/1000/ste-emotion_2.txt,134,./data_source/ste-emotion/1000/ste-emotion_3.txt
ste-emotion,Calculation,percentage,Calculate the percentage of entries with both 'sadness' and 'anger'.,10.00%,./data_source/ste-emotion/10/ste-emotion_1.txt,10.00%,./data_source/ste-emotion/10/ste-emotion_2.txt,20.00%,./data_source/ste-emotion/10/ste-emotion_3.txt,12.00%,./data_source/ste-emotion/50/ste-emotion_1.txt,6.00%,./data_source/ste-emotion/50/ste-emotion_2.txt,12.00%,./data_source/ste-emotion/50/ste-emotion_3.txt,14.00%,./data_source/ste-emotion/100/ste-emotion_1.txt,14.00%,./data_source/ste-emotion/100/ste-emotion_2.txt,9.00%,./data_source/ste-emotion/100/ste-emotion_3.txt,11.60%,./data_source/ste-emotion/250/ste-emotion_1.txt,13.20%,./data_source/ste-emotion/250/ste-emotion_2.txt,12.40%,./data_source/ste-emotion100ste-emotion_3.txt,12.20%,./data_source/ste-emotion/500/ste-emotion_1.txt,12.20%,./data_source/ste-emotion/500/ste-emotion_2.txt,12.20%,./data_source/ste-emotion/500/ste-emotion_3.txt,12.27%,./data_source/ste-emotion/750/ste-emotion_1.txt,12.27%,./data_source/ste-emotion/750/ste-emotion_2.txt,12.27%,./data_source/ste-emotion/750/ste-emotion_3.txt,12.40%,./data_source/ste-emotion/1000/ste-emotion_1.txt,12.40%,./data_source/ste-emotion/1000/ste-emotion_2.txt,12.40%,./data_source/ste-emotion/1000/ste-emotion_3.txt
ste-emotion,Calculation,percentage,What is the percentage difference between the number of 'optimism' and 'disgust' entries?,30.00%,./data_source/ste-emotion/10/ste-emotion_1.txt,30.00%,./data_source/ste-emotion/10/ste-emotion_2.txt,0.00%,./data_source/ste-emotion/10/ste-emotion_3.txt,10.00%,./data_source/ste-emotion/50/ste-emotion_1.txt,4.00%,./data_source/ste-emotion/50/ste-emotion_2.txt,28.00%,./data_source/ste-emotion/50/ste-emotion_3.txt,6.00%,./data_source/ste-emotion/100/ste-emotion_1.txt,7.00%,./data_source/ste-emotion/100/ste-emotion_2.txt,6.00%,./data_source/ste-emotion/100/ste-emotion_3.txt,14.80%,./data_source/ste-emotion/250/ste-emotion_1.txt,8.40%,./data_source/ste-emotion/250/ste-emotion_2.txt,8.80%,./data_source/ste-emotion100ste-emotion_3.txt,3.60%,./data_source/ste-emotion/500/ste-emotion_1.txt,3.60%,./data_source/ste-emotion/500/ste-emotion_2.txt,3.60%,./data_source/ste-emotion/500/ste-emotion_3.txt,5.47%,./data_source/ste-emotion/750/ste-emotion_1.txt,5.47%,./data_source/ste-emotion/750/ste-emotion_2.txt,5.47%,./data_source/ste-emotion/750/ste-emotion_3.txt,6.30%,./data_source/ste-emotion/1000/ste-emotion_1.txt,6.30%,./data_source/ste-emotion/1000/ste-emotion_2.txt,6.30%,./data_source/ste-emotion/1000/ste-emotion_3.txt
ste-emotion,Count,number,Return the count of instances with the most frequent emotion.,6,./data_source/ste-emotion/10/ste-emotion_1.txt,4,./data_source/ste-emotion/10/ste-emotion_2.txt,5,./data_source/ste-emotion/10/ste-emotion_3.txt,26,./data_source/ste-emotion/50/ste-emotion_1.txt,27,./data_source/ste-emotion/50/ste-emotion_2.txt,25,./data_source/ste-emotion/50/ste-emotion_3.txt,38,./data_source/ste-emotion/100/ste-emotion_1.txt,37,./data_source/ste-emotion/100/ste-emotion_2.txt,45,./data_source/ste-emotion/100/ste-emotion_3.txt,102,./data_source/ste-emotion/250/ste-emotion_1.txt,100,./data_source/ste-emotion/250/ste-emotion_2.txt,98,./data_source/ste-emotion100ste-emotion_3.txt,198,./data_source/ste-emotion/500/ste-emotion_1.txt,198,./data_source/ste-emotion/500/ste-emotion_2.txt,198,./data_source/ste-emotion/500/ste-emotion_3.txt,290,./data_source/ste-emotion/750/ste-emotion_1.txt,290,./data_source/ste-emotion/750/ste-emotion_2.txt,290,./data_source/ste-emotion/750/ste-emotion_3.txt,379,./data_source/ste-emotion/1000/ste-emotion_1.txt,379,./data_source/ste-emotion/1000/ste-emotion_2.txt,379,./data_source/ste-emotion/1000/ste-emotion_3.txt
ste-emotion,Existence,yes/no,Does any entry in the dataset express more than three emotions?,yes,./data_source/ste-emotion/10/ste-emotion_1.txt,yes,./data_source/ste-emotion/10/ste-emotion_2.txt,yes,./data_source/ste-emotion/10/ste-emotion_3.txt,yes,./data_source/ste-emotion/50/ste-emotion_1.txt,yes,./data_source/ste-emotion/50/ste-emotion_2.txt,yes,./data_source/ste-emotion/50/ste-emotion_3.txt,yes,./data_source/ste-emotion/100/ste-emotion_1.txt,yes,./data_source/ste-emotion/100/ste-emotion_2.txt,yes,./data_source/ste-emotion/100/ste-emotion_3.txt,yes,./data_source/ste-emotion/250/ste-emotion_1.txt,yes,./data_source/ste-emotion/250/ste-emotion_2.txt,yes,./data_source/ste-emotion100ste-emotion_3.txt,yes,./data_source/ste-emotion/500/ste-emotion_1.txt,yes,./data_source/ste-emotion/500/ste-emotion_2.txt,yes,./data_source/ste-emotion/500/ste-emotion_3.txt,yes,./data_source/ste-emotion/750/ste-emotion_1.txt,yes,./data_source/ste-emotion/750/ste-emotion_2.txt,yes,./data_source/ste-emotion/750/ste-emotion_3.txt,yes,./data_source/ste-emotion/1000/ste-emotion_1.txt,yes,./data_source/ste-emotion/1000/ste-emotion_2.txt,yes,./data_source/ste-emotion/1000/ste-emotion_3.txt
ste-emotion,Comparison,yes/no,Are there more entries expressing fear than any other single emotion?,no,./data_source/ste-emotion/10/ste-emotion_1.txt,no,./data_source/ste-emotion/10/ste-emotion_2.txt,no,./data_source/ste-emotion/10/ste-emotion_3.txt,no,./data_source/ste-emotion/50/ste-emotion_1.txt,no,./data_source/ste-emotion/50/ste-emotion_2.txt,no,./data_source/ste-emotion/50/ste-emotion_3.txt,no,./data_source/ste-emotion/100/ste-emotion_1.txt,no,./data_source/ste-emotion/100/ste-emotion_2.txt,no,./data_source/ste-emotion/100/ste-emotion_3.txt,no,./data_source/ste-emotion/250/ste-emotion_1.txt,no,./data_source/ste-emotion/250/ste-emotion_2.txt,no,./data_source/ste-emotion100ste-emotion_3.txt,no,./data_source/ste-emotion/500/ste-emotion_1.txt,no,./data_source/ste-emotion/500/ste-emotion_2.txt,no,./data_source/ste-emotion/500/ste-emotion_3.txt,no,./data_source/ste-emotion/750/ste-emotion_1.txt,no,./data_source/ste-emotion/750/ste-emotion_2.txt,no,./data_source/ste-emotion/750/ste-emotion_3.txt,no,./data_source/ste-emotion/1000/ste-emotion_1.txt,no,./data_source/ste-emotion/1000/ste-emotion_2.txt,no,./data_source/ste-emotion/1000/ste-emotion_3.txt
ste-emotion,Comparison,yes/no,Are there more entries containing both 'anger' and 'disgust' than those containing both 'optimism' and 'trust'?,yes,./data_source/ste-emotion/10/ste-emotion_1.txt,yes,./data_source/ste-emotion/10/ste-emotion_2.txt,yes,./data_source/ste-emotion/10/ste-emotion_3.txt,yes,./data_source/ste-emotion/50/ste-emotion_1.txt,yes,./data_source/ste-emotion/50/ste-emotion_2.txt,yes,./data_source/ste-emotion/50/ste-emotion_3.txt,yes,./data_source/ste-emotion/100/ste-emotion_1.txt,yes,./data_source/ste-emotion/100/ste-emotion_2.txt,yes,./data_source/ste-emotion/100/ste-emotion_3.txt,yes,./data_source/ste-emotion/250/ste-emotion_1.txt,yes,./data_source/ste-emotion/250/ste-emotion_2.txt,yes,./data_source/ste-emotion100ste-emotion_3.txt,yes,./data_source/ste-emotion/500/ste-emotion_1.txt,yes,./data_source/ste-emotion/500/ste-emotion_2.txt,yes,./data_source/ste-emotion/500/ste-emotion_3.txt,yes,./data_source/ste-emotion/750/ste-emotion_1.txt,yes,./data_source/ste-emotion/750/ste-emotion_2.txt,yes,./data_source/ste-emotion/750/ste-emotion_3.txt,yes,./data_source/ste-emotion/1000/ste-emotion_1.txt,yes,./data_source/ste-emotion/1000/ste-emotion_2.txt,yes,./data_source/ste-emotion/1000/ste-emotion_3.txt
ste-emotion,Comparison,yes/no,Does the 'trust' emotion make up the smallest number of entries?,yes,./data_source/ste-emotion/10/ste-emotion_1.txt,yes,./data_source/ste-emotion/10/ste-emotion_2.txt,yes,./data_source/ste-emotion/10/ste-emotion_3.txt,no,./data_source/ste-emotion/50/ste-emotion_1.txt,yes,./data_source/ste-emotion/50/ste-emotion_2.txt,yes,./data_source/ste-emotion/50/ste-emotion_3.txt,no,./data_source/ste-emotion/100/ste-emotion_1.txt,no,./data_source/ste-emotion/100/ste-emotion_2.txt,yes,./data_source/ste-emotion/100/ste-emotion_3.txt,no,./data_source/ste-emotion/250/ste-emotion_1.txt,yes,./data_source/ste-emotion/250/ste-emotion_2.txt,no,./data_source/ste-emotion100ste-emotion_3.txt,yes,./data_source/ste-emotion/500/ste-emotion_1.txt,yes,./data_source/ste-emotion/500/ste-emotion_2.txt,yes,./data_source/ste-emotion/500/ste-emotion_3.txt,yes,./data_source/ste-emotion/750/ste-emotion_1.txt,yes,./data_source/ste-emotion/750/ste-emotion_2.txt,yes,./data_source/ste-emotion/750/ste-emotion_3.txt,yes,./data_source/ste-emotion/1000/ste-emotion_1.txt,yes,./data_source/ste-emotion/1000/ste-emotion_2.txt,yes,./data_source/ste-emotion/1000/ste-emotion_3.txt
ste-emotion,Comparison,yes/no,Does the percentage of entries that express at least two emotions exceed 30% of the total data?,yes,./data_source/ste-emotion/10/ste-emotion_1.txt,yes,./data_source/ste-emotion/10/ste-emotion_2.txt,yes,./data_source/ste-emotion/10/ste-emotion_3.txt,yes,./data_source/ste-emotion/50/ste-emotion_1.txt,yes,./data_source/ste-emotion/50/ste-emotion_2.txt,yes,./data_source/ste-emotion/50/ste-emotion_3.txt,yes,./data_source/ste-emotion/100/ste-emotion_1.txt,yes,./data_source/ste-emotion/100/ste-emotion_2.txt,yes,./data_source/ste-emotion/100/ste-emotion_3.txt,yes,./data_source/ste-emotion/250/ste-emotion_1.txt,yes,./data_source/ste-emotion/250/ste-emotion_2.txt,yes,./data_source/ste-emotion100ste-emotion_3.txt,yes,./data_source/ste-emotion/500/ste-emotion_1.txt,yes,./data_source/ste-emotion/500/ste-emotion_2.txt,yes,./data_source/ste-emotion/500/ste-emotion_3.txt,yes,./data_source/ste-emotion/750/ste-emotion_1.txt,yes,./data_source/ste-emotion/750/ste-emotion_2.txt,yes,./data_source/ste-emotion/750/ste-emotion_3.txt,yes,./data_source/ste-emotion/1000/ste-emotion_1.txt,yes,./data_source/ste-emotion/1000/ste-emotion_2.txt,yes,./data_source/ste-emotion/1000/ste-emotion_3.txt
ste-emotion,Existence,yes/no,Does every single entry express at least two emotions?,yes,./data_source/ste-emotion/10/ste-emotion_1.txt,no,./data_source/ste-emotion/10/ste-emotion_2.txt,yes,./data_source/ste-emotion/10/ste-emotion_3.txt,no,./data_source/ste-emotion/50/ste-emotion_1.txt,no,./data_source/ste-emotion/50/ste-emotion_2.txt,no,./data_source/ste-emotion/50/ste-emotion_3.txt,no,./data_source/ste-emotion/100/ste-emotion_1.txt,no,./data_source/ste-emotion/100/ste-emotion_2.txt,no,./data_source/ste-emotion/100/ste-emotion_3.txt,no,./data_source/ste-emotion/250/ste-emotion_1.txt,no,./data_source/ste-emotion/250/ste-emotion_2.txt,no,./data_source/ste-emotion100ste-emotion_3.txt,no,./data_source/ste-emotion/500/ste-emotion_1.txt,no,./data_source/ste-emotion/500/ste-emotion_2.txt,no,./data_source/ste-emotion/500/ste-emotion_3.txt,no,./data_source/ste-emotion/750/ste-emotion_1.txt,no,./data_source/ste-emotion/750/ste-emotion_2.txt,no,./data_source/ste-emotion/750/ste-emotion_3.txt,no,./data_source/ste-emotion/1000/ste-emotion_1.txt,no,./data_source/ste-emotion/1000/ste-emotion_2.txt,no,./data_source/ste-emotion/1000/ste-emotion_3.txt
ste-emotion,Comparison,yes/no,Is the combined count of 'trust' and 'love' entries greater than the count of joy entries?,no,./data_source/ste-emotion/10/ste-emotion_1.txt,no,./data_source/ste-emotion/10/ste-emotion_2.txt,no,./data_source/ste-emotion/10/ste-emotion_3.txt,no,./data_source/ste-emotion/50/ste-emotion_1.txt,no,./data_source/ste-emotion/50/ste-emotion_2.txt,no,./data_source/ste-emotion/50/ste-emotion_3.txt,no,./data_source/ste-emotion/100/ste-emotion_1.txt,no,./data_source/ste-emotion/100/ste-emotion_2.txt,no,./data_source/ste-emotion/100/ste-emotion_3.txt,no,./data_source/ste-emotion/250/ste-emotion_1.txt,no,./data_source/ste-emotion/250/ste-emotion_2.txt,no,./data_source/ste-emotion100ste-emotion_3.txt,no,./data_source/ste-emotion/500/ste-emotion_1.txt,no,./data_source/ste-emotion/500/ste-emotion_2.txt,no,./data_source/ste-emotion/500/ste-emotion_3.txt,no,./data_source/ste-emotion/750/ste-emotion_1.txt,no,./data_source/ste-emotion/750/ste-emotion_2.txt,no,./data_source/ste-emotion/750/ste-emotion_3.txt,no,./data_source/ste-emotion/1000/ste-emotion_1.txt,no,./data_source/ste-emotion/1000/ste-emotion_2.txt,no,./data_source/ste-emotion/1000/ste-emotion_3.txt
ste-emotion,Comparison,yes/no,Do entries expressing 'love' emotion account more than 30% of the total dataset?,no,./data_source/ste-emotion/10/ste-emotion_1.txt,no,./data_source/ste-emotion/10/ste-emotion_2.txt,no,./data_source/ste-emotion/10/ste-emotion_3.txt,no,./data_source/ste-emotion/50/ste-emotion_1.txt,no,./data_source/ste-emotion/50/ste-emotion_2.txt,no,./data_source/ste-emotion/50/ste-emotion_3.txt,no,./data_source/ste-emotion/100/ste-emotion_1.txt,no,./data_source/ste-emotion/100/ste-emotion_2.txt,no,./data_source/ste-emotion/100/ste-emotion_3.txt,no,./data_source/ste-emotion/250/ste-emotion_1.txt,no,./data_source/ste-emotion/250/ste-emotion_2.txt,no,./data_source/ste-emotion100ste-emotion_3.txt,no,./data_source/ste-emotion/500/ste-emotion_1.txt,no,./data_source/ste-emotion/500/ste-emotion_2.txt,no,./data_source/ste-emotion/500/ste-emotion_3.txt,no,./data_source/ste-emotion/750/ste-emotion_1.txt,no,./data_source/ste-emotion/750/ste-emotion_2.txt,no,./data_source/ste-emotion/750/ste-emotion_3.txt,no,./data_source/ste-emotion/1000/ste-emotion_1.txt,no,./data_source/ste-emotion/1000/ste-emotion_2.txt,no,./data_source/ste-emotion/1000/ste-emotion_3.txt
ste-emotion,Comparison,yes/no,Is the proportion for any single emotion category greater than 40% of the total?,yes,./data_source/ste-emotion/10/ste-emotion_1.txt,yes,./data_source/ste-emotion/10/ste-emotion_2.txt,yes,./data_source/ste-emotion/10/ste-emotion_3.txt,yes,./data_source/ste-emotion/50/ste-emotion_1.txt,yes,./data_source/ste-emotion/50/ste-emotion_2.txt,yes,./data_source/ste-emotion/50/ste-emotion_3.txt,no,./data_source/ste-emotion/100/ste-emotion_1.txt,no,./data_source/ste-emotion/100/ste-emotion_2.txt,yes,./data_source/ste-emotion/100/ste-emotion_3.txt,yss,./data_source/ste-emotion/250/ste-emotion_1.txt,yes,./data_source/ste-emotion/250/ste-emotion_2.txt,yes,./data_source/ste-emotion100ste-emotion_3.txt,no,./data_source/ste-emotion/500/ste-emotion_1.txt,no,./data_source/ste-emotion/500/ste-emotion_2.txt,no,./data_source/ste-emotion/500/ste-emotion_3.txt,no,./data_source/ste-emotion/750/ste-emotion_1.txt,no,./data_source/ste-emotion/750/ste-emotion_2.txt,no,./data_source/ste-emotion/750/ste-emotion_3.txt,no,./data_source/ste-emotion/1000/ste-emotion_1.txt,no,./data_source/ste-emotion/1000/ste-emotion_2.txt,no,./data_source/ste-emotion/1000/ste-emotion_3.txt
