Dataset,Question-Type,Answer-type,Question,gold_10_1,gold_10_2,gold_10_3,gold_50_1,gold_50_2,gold_50_3,gold_100_1,gold_100_2,gold_100_3,gold_250_1,gold_250_2,gold_250_3,gold_500_1,gold_500_2,gold_500_3,gold_750_1,gold_750_2,gold_750_3,gold_1000_1,gold_1000_2,gold_1000_3,base_yes,base_no,base_0%,base_50%,base_100%,base_0,base_100,base_500,base_1000
ste-tweettopic,Calculation,percentage,What is the percentage of entries that include both the 'celebrity and pop culture' topic and the 'music' topic?,0.00%,10.00%,30.00%,2.00%,8.00%,8.00%,5.00%,12.00%,5.00%,8.80%,6.80%,9.60%,6.60%,6.60%,6.60%,7.20%,7.20%,7.20%,7.10%,7.10%,7.10%,,,0.00%,50.00%,100.00%,,,,
ste-tweettopic,Calculation,percentage,"What is the percentage of instances that do not include the 'film, tv and video' topic?",90.00%,80.00%,80.00%,88.00%,84.00%,84.00%,74.00%,88.00%,90.00%,82.00%,81.60%,84.40%,79.60%,79.60%,79.60%,81.47%,81.47%,81.47%,82.40%,82.40%,82.40%,,,0.00%,50.00%,100.00%,,,,
ste-tweettopic,Calculation,percentage,"Return the percentage of instances related to either 'film, tv and video' topic or 'sports' topic.",40.00%,40.00%,20.00%,52.00%,42.00%,38.00%,50.00%,31.00%,37.00%,39.20%,42.40%,37.20%,36.40%,36.40%,36.40%,37.87%,37.87%,37.87%,39.10%,39.10%,39.10%,,,0.00%,50.00%,100.00%,,,,
ste-tweettopic,Existence,yes/no,Does the dataset contain entries discussing the 'family' topic?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-tweettopic,Existence,yes/no,Does the dataset only contain entries discussing the 'news and social concern' topic?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-tweettopic,Existence,yes/no,Does the dataset contain any entries that do not mention the 'sports' topic?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-tweettopic,Existence,yes/no,Does the dataset contain entries that mention neither the 'daily life' nor the 'news and social concern' topic?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-tweettopic,Count,number,How many entries do not mention the 'celebrity and pop culture' topic?,10,8,6,46,43,40,87,80,84,202,209,210,407,407,407,614,614,614,827,827,827,,,,,,0,100,500,1000
ste-tweettopic,Calculation,number,How many entries discuss either the 'daily life' or 'news and social concern' topic?,6,3,5,18,18,26,39,48,50,106,105,108,273,273,273,379,379,379,486,486,486,,,,,,0,100,500,1000
ste-tweettopic,Count,number,What is the number of entries which mention the 'arts and culture' topic but not the 'business' topic?,0,0,1,2,1,1,6,6,5,15,16,21,80,80,80,93,93,93,101,101,102,,,,,,0,100,500,1000
ste-tweettopic,Calculation,percentage,By what percentage do entries discussing 'news and social concern' topic exceed those discussing 'music' topic?,50.00%,10.00%,10.00%,12.00%,10.00%,26.00%,19.00%,18.00%,36.00%,12.00%,17.60%,10.80%,15.40%,15.40%,15.40%,14.80%,14.80%,14.80%,15.60%,15.60%,15.60%,,,0.00%,50.00%,100.00%,,,,
ste-tweettopic,Calculation,percentage,What is the total percentage of entries discussing the 'daily life' or 'news and social concern' topics in the dataset?,60.00%,30.00%,50.00%,36.00%,36.00%,52.00%,39.00%,48.00%,50.00%,42.40%,42.00%,43.20%,54.60%,54.60%,54.60%,50.53%,50.53%,50.53%,48.60%,48.60%,48.60%,,,0.00%,50.00%,100.00%,,,,
ste-tweettopic,Calculation,percentage,What is the percentage of the most frequent topic category out of the total data?,60.00%,30.00%,40.00%,44.00%,26.00%,40.00%,33.00%,40.00%,41.00%,28.80%,30.00%,30.40%,32.80%,32.80%,32.80%,32.27%,32.27%,32.27%,32.60%,32.60%,32.60%,,,0.00%,50.00%,100.00%,,,,
ste-tweettopic,Calculation,percentage,What is the percentage of the least frequent topic category out of the total data?,10.00%,10.00%,10.00%,2.00%,2.00%,2.00%,1.00%,2.00%,1.00%,0.80%,0.40%,0.80%,4.20%,4.20%,4.20%,3.33%,3.33%,3.33%,2.90%,2.90%,2.90%,,,0.00%,50.00%,100.00%,,,,
ste-tweettopic,Calculation,number,What is the absolute difference between the number of entries discussing the 'relationship' and 'news and social concern' topics?,6,2,4,8,11,18,28,35,41,68,63,63,104,104,104,173,173,173,250,250,250,,,,,,0,100,500,1000
ste-tweettopic,Comparison,yes/no,Does the number of entries discussing the 'arts and culture' topic exceed those discussing the 'news and social concern' topic?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-tweettopic,Comparison,yes/no,Are there fewer instances discussing the 'fitness and dining' topic than the 'news and social concern' topic?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-tweettopic,Comparison,yes/no,Do entries discussing the 'music' topic make up the largest number of dataset instances?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-tweettopic,Comparison,yes/no,Do entries discussing the 'film tv and video' topic make up the smallest number of dataset instances?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-tweettopic,Comparison,yes/no,Are instances focusing on the 'gaming' topic less frequent than both the 'daily life' topic and 'news and social concern' topic?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-tweettopic,Comparison,yes/no,Does the percentage of 'news and social concern' topic entries exceed the percentage of 'business' topic entries?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-tweettopic,Comparison,yes/no,Are instances discussing either the 'daily life' or 'learning and education' topic less frequent than those discussing the 'news and social concern' topic?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-tweettopic,Comparison,yes/no,Are instances discussing either the 'business' or 'gaming' topic more frequent than those discussing the 'news and social concern' topic?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-tweettopic,Comparison,yes/no,Do entries discussing the 'sports' topic represent less than 45% of the dataset?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-tweettopic,Comparison,yes/no,Is the proportion of 'arts and culture' topic entries between 20% and 40%?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-tweettopic,Comparison,yes/no,Is the number of instances in the most frequent topic category more than 2 times that of the least frequent?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-tweettopic,Comparison,yes/no,Is the number of entries which do not discuss 'sports' topic greater than those discussing it?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-tweettopic,Comparison,yes/no,Is the percentage of entries which discuss the 'gaming' topic smaller than the percentage of those that do not mention it?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-tweettopic,Comparison,yes/no,Do any of the topic categories individually exceed 20% of the total dataset?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-tweettopic,Existence,yes/no,Does the dataset contain entries discussing either the 'daily life' or 'sports' topic?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-tweettopic,Existence,yes/no,Are there any entries that only discuss the 'travel and adventure' topic?,no,no,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-tweettopic,Count,number,What is the total count of entries discussing both the 'celebrity and pop culture' and 'film tv and video' topics?,0,0,2,1,3,2,6,5,7,18,13,11,29,29,29,43,43,43,54,54,54,,,,,,0,100,500,1000
ste-tweettopic,Count,number,How many entries contain only the 'sports' topic?,2,4,2,5,6,8,10,20,9,45,37,38,17,17,17,61,61,61,106,106,106,,,,,,0,100,500,1000
ste-tweettopic,Count,number,What is the maximum number of topic categories discussed in any single entry?,3,3,4,4,5,3,4,6,4,4,5,4,6,6,6,6,6,6,6,6,6,,,,,,0,100,500,1000
ste-tweettopic,Calculation,percentage,Calculate the percentage of entries discussing both the 'celebrity and pop culture' and 'film tv and video topic'.,0.00%,0.00%,20.00%,2.00%,6.00%,4.00%,6.00%,5.00%,7.00%,7.20%,5.20%,4.40%,5.80%,5.80%,5.80%,5.73%,5.73%,5.73%,5.40%,5.40%,5.40%,,,0.00%,50.00%,100.00%,,,,
ste-tweettopic,Calculation,percentage,What is the percentage of the total instances that only contain the 'celebrity and pop culture' topic?,10.00%,0.00%,0.00%,2.00%,0.00%,0.00%,1.00%,2.00%,0.00%,0.00%,0.80%,0.40%,0.40%,0.40%,0.40%,0.53%,0.53%,0.53%,0.60%,0.60%,0.60%,,,0.00%,50.00%,100.00%,,,,
ste-tweettopic,Calculation,percentage,What is the percentage of entries in the dataset that discuss at least two topic categories?,40.00%,50.00%,40.00%,52.00%,58.00%,44.00%,56.00%,49.00%,60.00%,55.60%,56.80%,55.20%,86.20%,86.20%,86.20%,73.47%,73.47%,73.47%,67.00%,67.00%,67.00%,,,0.00%,50.00%,100.00%,,,,
ste-tweettopic,Calculation,percentage,"Among the entries containing the 'daily life' topic, what percentage of entries also contain the 'relationship' topic?",0.00%,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,30.77%,0.00%,21.95%,19.51%,21.95%,19.23%,19.23%,19.23%,18.42%,18.42%,18.42%,17.49%,17.49%,17.49%,,,0.00%,50.00%,100.00%,,,,
ste-tweettopic,Comparison,yes/no,Are there more entries discussing exactly 'fashion and style' topic than entries focusing on it alongside others?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-tweettopic,Comparison,yes/no,Is the number of multi-topic entries less than single-topic entries?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-tweettopic,Comparison,yes/no,Do entries focusing on at least two topic categories exceed 30% of the total data?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-tweettopic,Existence,yes/no,Does every single entry discuss at least two topics?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-tweettopic,Comparison,yes/no,Is the distribution of the 'travel and adventure' and 'sports' topics relatively balanced (within ±10%)?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-tweettopic,Comparison,yes/no,Is the ratio of 'music' topic entries to 'gaming' topic entries greater than 2:1?,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-tweettopic,Comparison,yes/no,Is the ratio of 'sports' topic entries to 'arts and culture' topic entries less than 1:1?,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
